Property ID,Map Location
PA1042,"https://www.google.com/maps/place/S+V+Heights/@12.9673099,77.7396139,17z/data=!4m6!3m5!1s0x3bae1318a1a7c0a1:0x17d6d3bfe8b42f6c!8m2!3d12.9720828!4d77.7334673!16s%2Fg%2F11w4wlbbwt?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1041,"https://www.google.com/maps/place/SANJEEVINI+PEBBLES+%E0%B2%B8%E0%B2%82%E0%B2%9C%E0%B3%80%E0%B2%B5%E0%B2%BF%E0%B2%A8%E0%B2%BF+%E0%B2%AA%E0%B3%86%E0%B2%AC%E0%B3%8D%E0%B2%AC%E0%B2%B2%E0%B3%8D%E0%B2%B8%E0%B3%8D/@12.9673099,77.7396139,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae12041fd473f9:0x759d1099d109ecd7!8m2!3d12.9673099!4d77.7396139!16s%2Fg%2F11b7hq62w5?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1040,"https://www.google.com/maps/place/Pavani+Sarovar,+Nallurahalli+Main+Rd,+Nallurhalli,+Whitefield,+Bengaluru,+Karnataka+560066/@12.9736943,77.7273493,14.91z/data=!4m6!3m5!1s0x3bae1202b42c9e91:0x9126f23813cfd589!8m2!3d12.9726354!4d77.7340972!16s%2Fg%2F11clmbkgpp?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1039,"https://www.google.com/maps/place/Brigade+Golden+Triangle/@13.0549285,77.7582486,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0fee0024fe1d:0x51c6ff23dd88e799!8m2!3d13.0549285!4d77.762862!16s%2Fg%2F1q6jbv893?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1038,https://maps.app.goo.gl/hNxFAURYRok3u5Mf7
PA1037,"https://www.google.com/maps/place/Adithya+Desai+Orchid/@12.9763895,77.7563067,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0e0830ba29db:0x95455b6311b5a75c!8m2!3d12.9763895!4d77.7588816!16s%2Fg%2F11b6_h620d?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1036,https://maps.app.goo.gl/xDwDRBy9GTaWh1nA7
PA1035,"https://www.google.com/maps/place/Prestige+Boulevard/@12.970452,77.7355222,17z/data=!4m6!3m5!1s0x3bae13e85f0b9d23:0x497346b2062eb1f!8m2!3d12.9754543!4d77.7431772!16s%2Fg%2F11fqgpg833?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1034,"https://www.google.com/maps/place/Amrutha+Heights/@12.9680214,77.7309546,17z/data=!4m6!3m5!1s0x3bae120317114de3:0x11f674a1f39e5160!8m2!3d12.970452!4d77.7355222!16s%2Fg%2F11dxqk6xxc?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1033,https://maps.app.goo.gl/cFtru9MwWmHWPiCy9
PA1032,"https://www.google.com/maps/place/Adithya+Elan/@12.9680214,77.7309546,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae121c7a28c5d9:0x5d7556b317e24cf1!8m2!3d12.9680214!4d77.7309546!16s%2Fg%2F11bw5zy_n_?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1031,https://maps.app.goo.gl/cf9HLWcECEamq84RA
PA1030,https://maps.app.goo.gl/YAi8eodtMdQRZXBJ6
PA1029,https://maps.app.goo.gl/pVSUcY7QjdNuthcAA
PA1028,https://maps.app.goo.gl/35MM4vhGp8KPUpNi7
