Property ID,Map Location,Latitude,Longitude
PA1044,"https://www.google.com/maps/place/Pavani+Marvel,+2nd+Cross+Rd,+Narayanappa+Garden,+Whitefield,+Bengaluru,+Karnataka+560066/@12.9761998,77.7555525,17z/data=!4m6!3m5!1s0x3bae0df97dfc1511:0x11647cd958cd6eeb!8m2!3d12.966571!4d77.7508909!16s%2Fg%2F12vr5vt2p?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.9761998,77.7555525
PA1043,"https://www.google.com/maps/place/KK+Spring+Garden,+KK+SPRING+GARDEN+MR+ASTER,+Ambedkar+Rd,+Vijayanagara,+Whitefield,+Bengaluru,+Karnataka+560066/@12.9761998,77.7555525,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0e08157753c9:0x76476528a9915ef0!8m2!3d12.9761998!4d77.7581274!16s%2Fg%2F11bw40s0h0?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.9761998,77.7555525
PA1042,"https://www.google.com/maps/place/S+V+Heights/@12.9673099,77.7396139,17z/data=!4m6!3m5!1s0x3bae1318a1a7c0a1:0x17d6d3bfe8b42f6c!8m2!3d12.9720828!4d77.7334673!16s%2Fg%2F11w4wlbbwt?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.9673099,77.7396139
PA1041,"https://www.google.com/maps/place/SANJEEVINI+PEBBLES+%E0%B2%B8%E0%B2%82%E0%B2%9C%E0%B3%80%E0%B2%B5%E0%B2%BF%E0%B2%A8%E0%B2%BF+%E0%B2%AA%E0%B3%86%E0%B2%AC%E0%B3%8D%E0%B2%AC%E0%B2%B2%E0%B3%8D%E0%B2%B8%E0%B3%8D/@12.9673099,77.7396139,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae12041fd473f9:0x759d1099d109ecd7!8m2!3d12.9673099!4d77.7396139!16s%2Fg%2F11b7hq62w5?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.9673099,77.7396139
PA1040,"https://www.google.com/maps/place/Pavani+Sarovar,+Nallurahalli+Main+Rd,+Nallurhalli,+Whitefield,+Bengaluru,+Karnataka+560066/@12.9736943,77.7273493,14.91z/data=!4m6!3m5!1s0x3bae1202b42c9e91:0x9126f23813cfd589!8m2!3d12.9726354!4d77.7340972!16s%2Fg%2F11clmbkgpp?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.9736943,77.7273493
PA1039,"https://www.google.com/maps/place/Brigade+Golden+Triangle/@13.0549285,77.7582486,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0fee0024fe1d:0x51c6ff23dd88e799!8m2!3d13.0549285!4d77.762862!16s%2Fg%2F1q6jbv893?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",13.0549285,77.7582486
PA1038,https://maps.app.goo.gl/hNxFAURYRok3u5Mf7,12.9753427,77.7426457
PA1037,"https://www.google.com/maps/place/Adithya+Desai+Orchid/@12.9763895,77.7563067,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0e0830ba29db:0x95455b6311b5a75c!8m2!3d12.9763895!4d77.7588816!16s%2Fg%2F11b6_h620d?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.9763895,77.7563067
PA1036,https://maps.app.goo.gl/xDwDRBy9GTaWh1nA7,12.971455,77.7448831
PA1035,"https://www.google.com/maps/place/Prestige+Boulevard/@12.970452,77.7355222,17z/data=!4m6!3m5!1s0x3bae13e85f0b9d23:0x497346b2062eb1f!8m2!3d12.9754543!4d77.7431772!16s%2Fg%2F11fqgpg833?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.970452,77.7355222
